# Output generated by @ua_chatgpt_bot

Ваше питання: Give a list or RTMP messages and IDs which must be supported by RTMP server

Відповідь: RTMPSetBufferLength message ID (id=3)

RTMPConnect message ID (id=5)

RTMPConnectApp message ID (id=7)

RTMPCreateStream message ID (id=8)

RTMPPlay message ID (id=20)

RTMPPublish message ID (id=14)

RTMPSeek message ID (id=13)

RTMPPause message ID (id=18)

RTMPCreateStreamResult message ID (id=19)

RTMPDeleteStream message ID (id=22)

RTMPCloseStream message ID (id=23)

RTMPReleaseStream message ID (id=24)

RTMPSendData message ID (id=17)

RTMPReceiveData message ID (id=16)

RTMPAddMultiMetadata message ID (id=25)

