# Output generated by @ua_chatgpt_bot

Ваше питання: Список із 10 фільмів-комедій (не серіалів). В список включи жанр, країну фільму. Також в список включи рік випуску. Також в список включи відомих акторів з фільму. Напиши англійською на українською мовами.

Відповідь: 1. Beverly Hills Cop (Констабл Беверлі Хіллс), комедія, США, 1984 рік, Едді Мерфі, Регі Джордан.
2. Borat (Борат), комедія, Великобританія/США, 2006 рік, Саша Барон Коєн.
3. Home Alone (Сам вдома), комедія, США, 1990 рік, Макаулі Руко, Джош Пікет.
4. The Hangover (Перебування), комедія, США, 2009 рік, Зік Галіфіанакес, Бредлі Купер.
5. Ace Ventura: Pet Detective (Ас Вентура: Детектив-хитрюка), комедія, США, 1994 рік, Джеймс Кіроуітт, Каррі Рур.
6. Superbad (Супербад), комедія, США, 2007 рік, Джон Сакс, Майкл Сера.
7. Zoolander (Парни з Улиці Вудса), комедія, США, 2001 рік, Бен Стіллер, Оуен Уілсон.
8. Bridesmaids (Щоблики), комедія, США, 2011 рік, Меліса Кініг, Крістен Уїллі.
9. Rush Hour (Пік комутації), комедія, США, 1998 рік, Джекі Чан, Крістофер Уолкер.
10. Austin Powers: International Man of Mystery (Остін Пауерс: Таємницький чоловік міжнародного стану), комедія, США, 1997 рік, Майк Майерс, Эштон Кутчер.

